"","county","year","sum_total_income_amount","sum_total_income_returns","mean_total_income_amount","income_per_tax_return"
"125","fentress",2015,23225,3480,5806.25,6.67385057471264
"126","franklin",2011,61732,9959,7716.5,6.1986143187067
"127","franklin",2012,66596,10360,8324.5,6.42818532818533
"128","franklin",2013,71024,10360,8878,6.85559845559846
"129","franklin",2014,76297,10640,9537.125,7.17077067669173
"130","franklin",2015,78918,10880,9864.75,7.25349264705882
"131","gibson",2011,80632,14375,10079,5.60918260869565
"132","gibson",2012,91214,14340,11401.75,6.36080892608089
"133","gibson",2013,92092,14290,11511.5,6.4445066480056
"134","gibson",2014,102729,14390,12841.125,7.13891591382905
"135","gibson",2015,94620,14720,11827.5,6.42798913043478
"136","giles",2011,41165,7370,6860.83333333333,5.58548168249661
"137","giles",2012,43728,7530,7288,5.80717131474104
"138","giles",2013,44881,7610,7480.16666666667,5.89763469119579
"139","giles",2014,48199,7980,8033.16666666667,6.03997493734336
"140","giles",2015,51512,8230,8585.33333333333,6.25905224787363
"141","grainger",2011,26467,5462,4411.16666666667,4.84566093006225
"142","grainger",2012,27638,5560,4606.33333333333,4.97086330935252
"143","grainger",2013,28698,5490,4783,5.22732240437159
"144","grainger",2014,30101,5610,5016.83333333333,5.36559714795009
"145","grainger",2015,34060,5940,5676.66666666667,5.73400673400673
"146","greene",2011,90112,16803,12873.1428571429,5.36285187168958
