"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","agi_salaries_wages_returns","agi_salaries_wages_amount","farm_returns","unemployment_compensation_returns","unemployment_compensation_amount","state_local_income_tax_returns","state_local_income_tax_amount","state_local_general_sales_returns","state_local_general_sales_amount","real_estate_returns","real_estate_amount","taxes_paid_returns","taxes_paid_amount","taxable_income_returns","taxable_income_amount","child_tax_credit_returns","child_tax_credit_amount","total_tax_payments_returns","total_tax_payments_amount","tax_due_at_filing_returns","tax_due_at_filing_amount","overpayments_refunded_returns","overpayments_refunded_amount"
"2119",37819,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2120",37819,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2121",37819,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2122",37820,"Total",2190,135677,3220,137307,2760,105773,210,130,347,0,0,360,802,340,517,390,1442,2310,80585,550,729,3100,19131,440,1250,2670,7210
"2123",37820,"$1 under $25,000",740,18286,1420,18566,1150,14140,40,60,150,0,0,40,40,30,33,40,84,550,3376,40,14,1320,3131,110,93,1240,2616
"2124",37820,"$25,000 under $50,000",620,31191,860,31442,750,25413,60,40,114,0,0,70,103,70,64,80,179,820,15106,200,192,840,3730,120,196,730,2129
"2125",37820,"$50,000 under $75,000",400,28208,460,28486,410,22436,40,30,83,0,0,70,121,70,95,80,232,460,17936,160,266,460,3141,90,175,360,1046
"2126",37820,"$75,000 under $100,000",240,22101,260,22363,240,18154,30,0,0,0,0,80,192,70,99,80,304,260,15362,100,177,260,2670,40,155,210,743
"2127",37820,"$100,000 under $200,000",160,24320,190,24879,180,19195,40,0,0,0,0,100,346,100,226,90,420,190,18953,50,80,190,3374,80,631,130,676
"2128",37820,"$200,000 or more",30,11571,30,11571,30,6435,0,0,0,0,0,0,0,0,0,20,223,30,9852,0,0,30,3085,0,0,0,0
