"","zip","gross_income","num_dependents","adj_gross_income","total_income_returns","total_income_amount","taxes_paid_returns","taxes_paid_amount"
"322",37069,"$200,000 or more",2150,852542,1530,868501,1310,16238
"323",37072,"Total",8620,808883,14670,821151,3350,14384
"324",37072,"$1 under $25,000",2210,66951,5340,68244,260,680
"325",37072,"$25,000 under $50,000",2440,142006,3900,143859,650,1847
"326",37072,"$50,000 under $75,000",1400,133576,2170,135336,690,2347
"327",37072,"$75,000 under $100,000",1030,118534,1370,119803,580,2265
"328",37072,"$100,000 under $200,000",1250,204842,1560,207492,920,4829
"329",37072,"$200,000 or more",290,142974,330,146417,250,2416
"330",37073,"Total",4190,321228,6260,325760,1320,5220
"331",37073,"$1 under $25,000",880,26772,2200,27311,100,218
"332",37073,"$25,000 under $50,000",1000,56357,1540,57116,230,630
"333",37073,"$50,000 under $75,000",900,65820,1060,66679,290,896
"334",37073,"$75,000 under $100,000",710,64812,740,65444,280,1151
"335",37073,"$100,000 under $200,000",630,83024,650,84126,360,1859
"336",37073,"$200,000 or more",70,24443,70,25084,60,466
"337",37074,"Total",2010,120770,3010,122370,310,1062
"338",37074,"$1 under $25,000",670,16651,1340,16891,40,66
"339",37074,"$25,000 under $50,000",650,30082,830,30336,60,144
"340",37074,"$50,000 under $75,000",360,25802,430,26035,70,203
"341",37074,"$75,000 under $100,000",200,19232,220,19437,50,189
"342",37074,"$100,000 under $200,000",110,20200,160,20868,70,308
"343",37074,"$200,000 or more",20,8803,30,8803,20,152
"344",37075,"Total",19680,2052495,30130,2089436,9090,43939
"345",37075,"$1 under $25,000",2920,116046,9980,118694,580,1490
"346",37075,"$25,000 under $50,000",3910,242148,6640,246498,1280,3546
"347",37075,"$50,000 under $75,000",3150,261457,4230,265622,1490,5176
"348",37075,"$75,000 under $100,000",2990,281514,3240,285321,1570,6539
"349",37075,"$100,000 under $200,000",5160,636370,4740,646761,3120,16956
"350",37075,"$200,000 or more",1550,514960,1300,526540,1050,10232
"351",37076,"Total",9560,980888,19590,994926,4110,15772
"352",37076,"$1 under $25,000",3030,91421,7100,93579,370,848
"353",37076,"$25,000 under $50,000",2660,204090,5610,206996,870,2270
"354",37076,"$50,000 under $75,000",1490,186469,3040,188743,990,2966
"355",37076,"$75,000 under $100,000",980,143841,1670,145436,680,2557
"356",37076,"$100,000 under $200,000",1210,249136,1900,252251,1020,5171
"357",37076,"$200,000 or more",190,105931,270,107921,180,1960
"358",37078,"Total",160,13903,290,14032,40,135
"359",37078,"$1 under $25,000",40,1455,120,1455,0,0
"360",37078,"$25,000 under $50,000",60,2846,80,2975,0,0
"361",37078,"$50,000 under $75,000",30,2322,40,2322,0,0
"362",37078,"$75,000 under $100,000",30,2075,20,2075,40,135
"363",37078,"$100,000 under $200,000",0,5205,30,5205,0,0
"364",37078,"$200,000 or more",0,0,0,0,0,0
"365",37079,"Total",670,42929,1050,43275,120,381
"366",37079,"$1 under $25,000",210,5214,410,5276,0,0
"367",37079,"$25,000 under $50,000",210,11114,310,11194,50,111
"368",37079,"$50,000 under $75,000",130,10217,170,10302,50,144
"369",37079,"$75,000 under $100,000",70,7831,90,7882,0,0
"370",37079,"$100,000 under $200,000",50,8553,70,8621,20,126
"371",37079,"$200,000 or more",0,0,0,0,0,0
"372",37080,"Total",1840,183993,3530,186485,710,3090
"373",37080,"$1 under $25,000",490,15493,1250,15832,60,144
"374",37080,"$25,000 under $50,000",470,32519,900,32887,100,282
"375",37080,"$50,000 under $75,000",310,35597,580,36024,160,550
"376",37080,"$75,000 under $100,000",270,31840,370,32134,150,610
"377",37080,"$100,000 under $200,000",240,44839,350,45355,190,1032
"378",37080,"$200,000 or more",60,23705,80,24253,50,472
"379",37082,"Total",1720,187563,3000,191288,750,3204
"380",37082,"$1 under $25,000",340,11917,1000,12298,60,131
"381",37082,"$25,000 under $50,000",350,24198,660,24775,120,303
"382",37082,"$50,000 under $75,000",310,28037,460,28537,160,557
"383",37082,"$75,000 under $100,000",240,28087,320,28501,120,457
"384",37082,"$100,000 under $200,000",390,61543,470,62572,230,1223
"385",37082,"$200,000 or more",90,33781,90,34605,60,533
"386",37083,"Total",4310,224547,5770,227773,450,1442
"387",37083,"$1 under $25,000",1610,34140,2660,34723,50,90
"388",37083,"$25,000 under $50,000",1290,57532,1600,58204,120,266
"389",37083,"$50,000 under $75,000",690,47251,770,47762,110,276
"390",37083,"$75,000 under $100,000",400,35654,420,36133,80,313
"391",37083,"$100,000 under $200,000",280,35311,280,35863,70,326
"392",37083,"$200,000 or more",40,14659,40,15088,20,171
"393",37085,"Total",1330,131408,1900,133401,520,2433
"394",37085,"$1 under $25,000",180,6829,570,7033,30,65
"395",37085,"$25,000 under $50,000",260,14984,410,15232,70,169
"396",37085,"$50,000 under $75,000",210,18122,290,18310,80,257
"397",37085,"$75,000 under $100,000",240,20814,240,21107,100,387
"398",37085,"$100,000 under $200,000",380,42756,330,43373,200,1155
"399",37085,"$200,000 or more",60,27903,60,28346,40,400
"400",37086,"Total",13450,640685,15850,647059,2660,7991
"401",37086,"$1 under $25,000",4090,82617,6390,83989,260,484
"402",37086,"$25,000 under $50,000",5030,184499,5100,186472,840,1971
"403",37086,"$50,000 under $75,000",2180,139738,2280,140911,690,1928
"404",37086,"$75,000 under $100,000",1260,102171,1190,102771,410,1438
"405",37086,"$100,000 under $200,000",860,104513,830,105769,420,1867
"406",37086,"$200,000 or more",30,27147,60,27147,40,303
"407",37087,"Total",13260,1117578,19710,1135940,4210,18566
"408",37087,"$1 under $25,000",3790,98594,7850,100065,290,656
"409",37087,"$25,000 under $50,000",3450,172515,4810,174522,710,1835
"410",37087,"$50,000 under $75,000",1990,160812,2600,162496,770,2572
"411",37087,"$75,000 under $100,000",1670,157834,1820,159691,730,2752
"412",37087,"$100,000 under $200,000",1910,281435,2130,285920,1310,6849
"413",37087,"$200,000 or more",450,246388,500,253246,400,3902
"414",37090,"Total",4100,389944,6990,395483,1510,6216
"415",37090,"$1 under $25,000",810,29043,2380,29595,110,243
"416",37090,"$25,000 under $50,000",1080,65995,1800,66775,240,567
"417",37090,"$50,000 under $75,000",790,66470,1070,67251,300,888
"418",37090,"$75,000 under $100,000",540,65750,760,66410,280,1050
"419",37090,"$100,000 under $200,000",750,106106,820,107664,470,2356
"420",37090,"$200,000 or more",130,56580,160,57788,110,1112
"421",37091,"Total",6190,391337,9290,395629,980,3803
"422",37091,"$1 under $25,000",2140,50221,3990,50967,90,213
"423",37091,"$25,000 under $50,000",1980,93187,2600,93912,210,504
"424",37091,"$50,000 under $75,000",1010,80513,1320,81132,210,663
"425",37091,"$75,000 under $100,000",570,61566,720,62112,180,684
"426",37091,"$100,000 under $200,000",450,73465,580,74390,240,1204
"427",37091,"$200,000 or more",40,32385,80,33116,50,535
"428",37095,"Total",440,30269,780,30573,70,198
"429",37095,"$1 under $25,000",130,4285,360,4379,0,0
"430",37095,"$25,000 under $50,000",160,7566,210,7676,40,73
"431",37095,"$50,000 under $75,000",80,6817,110,6860,0,0
"432",37095,"$75,000 under $100,000",40,4560,50,4617,30,125
"433",37095,"$100,000 under $200,000",30,7041,50,7041,0,0
"434",37095,"$200,000 or more",0,0,0,0,0,0
"435",37096,"Total",1490,89407,2200,90318,240,738
"436",37096,"$1 under $25,000",590,13401,1070,13635,20,29
"437",37096,"$25,000 under $50,000",430,20951,590,21153,60,116
"438",37096,"$50,000 under $75,000",230,14810,240,14903,40,98
"439",37096,"$75,000 under $100,000",130,13260,160,13352,50,140
